student_id,first_name,age,gender,year_of_study,admission_year,home_region,commuter,has_scholarship,major,favorite_genre,sleep_hours,study_hours,exercise_min,social_media_min,coffee_cups,stress_level,monthly_spending,survey_date,gpa_term1,gpa_term2,gpa_term3,gpa_term4,gpa,passed_course
S00001,Abdallah,20,M,1,2025,Maadi/Zamalek,Yes,No,Engineering,pop,8.5,24.1,485,134,6,5,14338,2026-01-23,,,,3.29,3.33,Yes
S00002,Mariam,20,F,1,2025,Heliopolis,Yes,No,Psychology,pop,7.3,17.4,46,406,1,4,2726,2026-03-07,,,,1.95,2.1,Yes
S00003,Alyaa,19,F,2,2024,New Cairo,Yes,No,Engineering,jazz,5.3,26.6,86,65,2,6,2996,2025-10-12,,,3.94,3.8,3.84,Yes
S00004,Ahmed,20,M,1,2025,Maadi/Zamalek,Yes,No,Engineering,pop,7.9,20.3,204,333,2,5,3636,2025-10-02,,,,3.16,3.07,Yes
S00005,Maryam,22,F,3,2023,Maadi/Zamalek,Yes,Yes,Engineering,rock,7.8,34.1,258,140,2,5,3421,2025-10-12,,4.0,3.92,4.0,4.0,Yes
S00006,Mark,20,M,3,2023,Heliopolis,Yes,Yes,Business,hiphop,4.9,25.6,71,179,3,8,3753,2025-12-29,,3.23,2.84,3.23,3.2,Yes
S00007,Sarah,19,F,2,2024,New Cairo,No,No,Psychology,pop,8.0,20.7,20,109,1,5,4429,2026-01-14,,,3.07,2.66,2.76,Yes
S00008,Nour,22,F,3,2023,New Cairo,No,No,Biology,rock,7.3,17.3,319,238,2,5,2500,2025-10-25,,2.96,2.61,2.64,2.58,Yes
S00009,Abdulla,22,M,3,2023,New Cairo,No,No,Computer Science,hiphop,8.6,20.2,74,134,6,5,3405,2025-09-08,,2.47,2.57,2.92,2.84,Yes
S00010,Ali,22,M,4,2022,Heliopolis,Yes,No,Computer Science,hiphop,5.1,39.2,41,30,2,6,11995,2026-02-03,3.96,3.81,3.77,3.84,3.97,Yes
S00011,Youssef,18,M,1,2025,Maadi/Zamalek,Yes,No,Biology,classical,9.0,21.9,149,121,1,6,4726,2026-01-11,,,,3.18,3.17,Yes
S00012,Reem,21,F,3,2023,Other Greater Cairo,Yes,No,Mathematics,pop,8.3,21.6,144,105,3,6,8096,2025-11-20,,2.58,2.96,3.03,3.11,Yes
S00013,Mariam,20,F,1,2025,New Cairo,No,No,Computer Science,classical,9.9,132.3,50,160,2,5,6282,2026-03-14,,,,4.0,4.0,Yes
